Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.,52.78,51.97,52.33,2313200,52.33
2014-02-18,52.04,52.52,51.38,51.97,2196900,51.97
2014-02-10,51.19,52.19,50.97,51.92,2019600,51.92
2014-02-03,50.49,51.5,49.59,51.39,3502500,51.39
2014-01-27,51.66,52.01,49.66,50.52,4310500,50.52
2014-01-21,54.28,54.52,51.65,51.67,3191200,51.67
2014-01-13,55.91,55.95,53.9,54.32,2938600,54.32
2014-01-06,56.74,57.41,55.4,55.89,2772400,55.89
2013-12-30,56.21,56.92,55.98,56.57,1550400,56.57
2013-12-23,55.65,56.88,55.36,56.29,1468300,56.29
2013-12-16,55.89,56.32,55.08,55.45,2827800,55.45
2013-12-09,55.43,56.39,55.1,55.72,1953400,55.72
2013-12-02,55.63,56.25,54.67,55.17,2987300,55.17
2013-11-25,57.07,57.36,55.59,55.65,2459700,55.65
2013-11-18,60.02,60.11,55.15,56.86,3717600,56.86
2013-11-11,58.42,60.02,58.2,59.91,1252100,59.91
2013-11-04,58.52,59.85,57.76,58.66,1602100,58.66
2013-10-28,59.72,59.78,58.01,58.17,1448600,58.17
2013-10-21,59.02,60.19,59.01,59.7,901900,59.7
2013-10-14,58.62,59.68,57.83,59.24,1345500,59.24
2013-10-07,58.62,58.89,57.21,58.69,1630800,58.69
2013-09-30,56.76,59.4,56.36,59.21,1784700,59.21
2013-09-23,57.68,58.58,56.98,57.52,1514500,57.52
2013-09-16,55.35,58.69,55.35,58.,2252900,58.
2013-09-09,53.45,55.09,53.28,54.87,1112800,54.87
2013-09-03,53.14,54.71,52.31,53.45,1337400,53.45
2013-08-26,54.,54.57,52.53,52.7,1238000,52.7
2013-08-19,50.52,54.92,50.35,53.29,2205100,53.29
2013-08-12,52.52,53.87,50.33,50.45,1297700,50.45
2013-08-05,54.06,54.48,52.72,52.92,1129900,52.92
2013-07-29,52.83,55.02,52.55,54.38,1098600,54.38
2013-07-22,53.82,53.91,52.19,53.13,1001400,53.13
2013-07-15,53.91,54.1,52.96,53.55,1222000,53.55
2013-07-08,53.25,55.,52.61,53.96,1756100,53.96
2013-07-01,50.66,53.25,50.46,53.,1338200,53.
2013-06-24,49.24,51.29,48.91,50.84,1891100,50.84
2013-06-17,49.7,50.79,48.51,49.41,2091000,49.41
2013-06-10,49.74,50.18,48.3,49.12,1059000,49.12
2013-06-03,48.5,50.13,47.99,49.69,1810700,49.69
2013-05-28,50.68,50.97,47.7,48.04,1885400,48.04
2013-05-20,49.68,51.2,48.08,50.24,2519200,50.24
2013-05-13,49.08,50.64,48.66,49.76,1640300,49.76
2013-05-06,48.52,49.85,48.13,49.28,1351400,49.28
2013-04-29,48.09,48.92,46.88,48.66,1591400,48.66
2013-04-22,47.45,48.85,46.88,47.95,1456200,47.95
