Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,104.29,106.46,104.,105.76,764200,105.76
2014-02-18,105.44,105.97,102.21,104.55,758300,104.55
2014-02-10,102.96,105.8,100.27,104.79,783400,104.79
2014-02-03,103.34,104.52,97.76,102.93,1124300,102.93
2014-01-27,89.47,105.58,85.58,103.43,1687000,103.12
2014-01-21,91.41,91.41,88.67,89.38,783000,89.11
2014-01-13,87.89,91.13,85.18,90.48,937700,90.21
2014-01-06,81.01,88.47,81.01,88.28,986100,88.02
2013-12-30,83.03,83.27,79.92,80.7,703300,80.46
2013-12-23,83.89,85.65,82.92,83.36,354200,83.11
2013-12-16,79.14,84.49,79.14,83.39,674700,83.14
2013-12-09,81.21,84.33,78.49,78.97,703300,78.73
2013-12-02,81.14,82.32,78.72,81.28,551800,81.04
2013-11-25,81.36,81.64,80.03,81.04,319200,80.8
2013-11-18,81.72,81.86,79.18,81.35,474400,81.11
2013-11-11,77.82,81.75,77.67,81.13,552100,80.89
2013-11-04,82.12,83.1,76.39,77.78,939100,77.55
2013-10-28,72.5,85.76,71.29,81.96,1352900,81.41
2013-10-21,71.81,73.39,70.9,72.63,368800,72.15
2013-10-14,67.24,72.91,66.63,71.76,612600,71.28
2013-10-07,68.64,69.18,63.61,67.79,691600,67.34
2013-09-30,65.22,69.51,65.14,69.39,707000,68.93
2013-09-23,65.36,66.64,63.84,66.2,583200,65.76
2013-09-16,67.07,67.86,65.13,65.16,700500,64.73
2013-09-09,64.6,66.73,64.6,66.46,529400,66.02
2013-09-03,65.13,65.9,63.94,64.59,713500,64.16
2013-08-26,68.36,68.73,63.83,64.02,749100,63.59
2013-08-19,66.95,69.17,66.68,68.42,715100,67.96
2013-08-12,68.33,71.66,66.73,67.11,1342900,66.66
2013-08-05,60.17,69.3,58.12,68.79,1976700,68.04
2013-07-29,58.39,61.4,58.39,60.67,705900,60.01
2013-07-22,55.99,58.75,55.98,58.72,506000,58.08
2013-07-15,55.47,56.18,54.18,56.06,570700,55.45
2013-07-08,54.74,55.56,53.69,55.25,759800,54.65
2013-07-01,54.58,55.91,53.1,54.48,824200,53.89
2013-06-24,48.62,55.17,47.59,54.2,978900,53.61
2013-06-17,52.12,53.25,48.79,49.6,585200,49.06
2013-06-10,53.,53.24,50.07,51.64,757800,51.08
2013-06-03,53.2,53.24,51.27,52.99,423600,52.41
2013-05-28,52.53,54.38,52.1,53.1,510800,52.52
2013-05-20,51.91,53.81,50.78,51.62,846800,51.06
2013-05-13,49.36,52.1,48.84,52.05,438800,51.48
