Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,62.75,64.33,61.8,63.91,5698600,63.91
2014-02-18,63.33,64.65,61.99,63.59,4991200,63.59
2014-02-10,61.58,63.54,60.64,62.8,5084800,62.8
2014-02-03,61.1,62.75,58.07,61.55,5795300,61.55
2014-01-27,58.51,61.49,56.95,60.53,5061500,60.53
2014-01-21,60.27,61.45,58.25,58.4,4831400,58.4
2014-01-13,56.97,59.91,55.65,59.86,5790900,59.86
2014-01-06,55.2,57.13,54.03,56.95,4168400,56.95
2013-12-30,54.27,55.55,53.97,55.12,2886000,55.12
2013-12-23,54.15,55.17,53.85,54.45,2359900,54.45
2013-12-16,50.72,54.21,50.12,53.72,5547500,53.72
2013-12-09,53.62,54.54,50.29,51.13,4884400,51.13
2013-12-02,52.01,54.15,51.04,53.88,4316800,53.88
2013-11-25,53.77,54.14,50.99,52.09,5874900,52.09
2013-11-18,58.2,58.37,52.55,54.69,9634300,54.69
2013-11-11,55.68,57.89,55.04,57.31,4838500,57.31
2013-11-04,54.5,57.24,54.15,55.49,4858200,55.49
2013-10-28,54.56,54.81,52.2,53.96,4023700,53.96
2013-10-21,56.15,56.24,52.98,54.56,3543900,54.56
2013-10-14,50.51,54.15,49.97,54.1,4124900,54.1
2013-10-07,52.42,53.2,48.7,51.07,4174900,51.07
2013-09-30,51.14,53.37,50.76,52.83,3740400,52.83
2013-09-23,52.83,53.94,51.71,52.43,3890700,52.43
2013-09-16,50.2,54.25,49.49,52.76,5996500,52.76
2013-09-09,48.6,50.6,48.54,49.64,4371600,49.64
2013-09-03,49.46,50.15,48.02,48.47,7356800,48.47
2013-08-26,43.16,49.94,42.11,49.13,12449500,49.13
2013-08-19,43.8,44.17,43.,43.59,3942200,43.59
2013-08-12,45.14,45.68,42.86,43.83,4046600,43.83
2013-08-05,45.31,46.1,44.19,45.21,2863200,45.21
2013-07-29,43.16,45.6,42.51,45.52,3936300,45.52
2013-07-22,42.5,43.53,41.84,43.22,4352800,43.22
2013-07-15,42.27,43.,41.29,42.5,4930700,42.5
2013-07-08,39.03,42.6,37.94,42.43,4899300,42.43
2013-07-01,38.56,39.07,37.73,38.94,3256700,38.94
2013-06-24,37.63,38.95,36.13,38.18,5942600,38.18
2013-06-17,37.22,38.83,36.09,38.3,7153300,38.3
2013-06-10,39.95,39.97,36.87,37.56,7658900,37.56
2013-06-03,42.37,42.44,37.1,39.61,15672900,39.61
2013-05-28,43.53,43.53,40.85,42.33,7545700,42.33
2013-05-20,47.14,47.58,41.8,43.25,10591400,43.25
2013-05-13,44.33,47.31,43.83,46.79,4422900,46.79
