Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,74.92,76.49,74.92,75.81,3771600,75.81
2014-02-18,74.48,75.6,73.88,74.8,3379200,74.8
2014-02-10,71.41,75.,71.2,74.59,3890400,74.59
2014-02-03,69.46,71.7,66.8,71.61,4414000,71.61
2014-01-27,69.92,71.02,68.46,69.55,4218700,69.55
2014-01-21,71.92,72.71,69.3,69.48,7223700,69.25
2014-01-13,72.51,74.14,70.92,73.69,3754100,73.45
2014-01-06,68.89,73.92,68.01,72.6,4637600,72.36
2013-12-30,70.28,70.8,68.43,68.86,2126200,68.64
2013-12-23,69.92,70.82,69.26,70.24,1582000,70.01
2013-12-16,66.88,70.,66.52,69.51,3838400,69.28
2013-12-09,68.29,69.82,64.5,66.27,4184900,66.05
2013-12-02,67.81,68.71,66.75,67.97,3250400,67.75
2013-11-25,67.36,68.61,65.47,68.15,3832300,67.93
2013-11-18,69.95,70.03,65.42,67.4,4007800,67.18
2013-11-11,67.81,70.53,67.75,70.05,3733200,69.82
2013-11-04,69.24,69.85,66.71,68.05,3834500,67.83
2013-10-28,69.32,70.93,68.32,68.97,4846600,68.75
2013-10-21,68.21,70.49,66.91,69.02,6937100,68.57
2013-10-14,61.73,69.15,61.56,68.73,6053000,68.29
2013-10-07,62.36,62.99,59.97,62.17,3240200,61.77
2013-09-30,59.05,63.39,58.58,62.69,3723100,62.28
2013-09-23,60.01,60.95,58.57,59.94,2245800,59.55
2013-09-16,61.47,61.77,59.21,59.55,3202600,59.16
2013-09-09,58.29,61.55,57.8,60.87,3504000,60.48
2013-09-03,55.91,59.13,55.15,58.34,5099900,57.96
2013-08-26,56.84,56.95,53.8,55.18,3505400,54.82
2013-08-19,55.29,57.78,54.36,56.82,3341200,56.45
2013-08-12,57.8,58.59,55.29,55.81,3618000,55.45
2013-08-05,58.23,58.51,56.7,58.01,5074900,57.63
2013-07-29,57.,59.34,53.09,58.3,11183300,57.69
2013-07-22,63.03,63.97,56.6,57.,6251100,56.41
2013-07-15,61.07,63.14,58.88,62.71,7190800,62.06
2013-07-08,62.32,62.59,58.74,60.9,3431400,60.27
2013-07-01,61.71,62.85,60.,61.84,2318600,61.2
2013-06-24,58.28,61.5,57.11,61.1,3442600,60.47
2013-06-17,59.28,63.73,57.83,58.86,4889500,58.25
2013-06-10,58.54,60.75,58.01,58.81,2606300,58.2
2013-06-03,59.25,59.73,56.82,58.31,3162400,57.7
2013-05-28,58.41,60.28,57.3,59.02,3016000,58.41
