Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,67.18,70.5,67.18,69.33,3729500,69.33
2014-02-18,66.34,67.57,66.08,66.86,2898500,66.86
2014-02-10,66.08,66.97,65.02,66.36,2889600,66.36
2014-02-03,62.42,66.44,60.14,66.2,4362100,66.2
2014-01-27,62.88,63.92,61.75,62.33,2194600,62.19
2014-01-21,64.18,65.89,62.8,62.97,2801700,62.83
2014-01-13,64.4,64.99,63.,63.9,1903600,63.75
2014-01-06,66.18,66.86,64.43,64.74,2283200,64.59
2013-12-30,68.32,68.73,65.87,66.14,1778200,65.99
2013-12-23,68.5,68.83,67.28,68.21,1185800,68.05
2013-12-16,68.97,69.88,65.79,67.94,3034400,67.78
2013-12-09,69.4,69.76,67.59,68.68,2582300,68.52
2013-12-02,70.1,70.74,68.79,69.5,2689300,69.34
2013-11-25,73.66,73.68,68.58,70.24,2472600,70.08
2013-11-18,75.05,75.27,72.39,73.58,1844900,73.41
2013-11-11,75.55,75.97,73.,74.93,1482600,74.76
2013-11-04,75.65,76.92,72.16,75.6,2266000,75.43
2013-10-28,76.39,78.01,73.5,75.19,1902200,75.02
2013-10-21,72.3,76.6,70.57,76.51,2997100,76.19
2013-10-14,66.52,72.62,66.26,72.56,1980100,72.26
2013-10-07,66.39,67.46,64.36,67.,1171800,66.72
2013-09-30,66.31,68.,65.63,67.23,1618300,66.95
2013-09-23,67.18,67.85,66.43,67.01,1073800,66.73
2013-09-16,67.07,68.43,65.51,67.29,1431500,67.01
2013-09-09,63.18,67.26,63.04,66.52,1904100,66.25
2013-09-03,62.1,63.82,61.65,62.91,1249100,62.65
2013-08-26,63.12,63.7,61.,61.43,1520000,61.18
2013-08-19,62.68,63.1,61.7,62.96,929900,62.7
2013-08-12,63.5,64.,62.15,62.65,1064200,62.39
2013-08-05,64.78,65.16,63.14,63.83,1412600,63.57
2013-07-29,62.69,64.96,61.78,64.96,1941100,64.69
2013-07-22,66.01,66.3,62.56,63.43,1714300,63.03
2013-07-15,64.3,66.09,62.76,66.07,1427600,65.65
2013-07-08,62.73,64.62,62.04,64.3,1717100,63.89
2013-07-01,60.31,62.76,59.85,62.71,1605700,62.31
2013-06-24,58.61,61.77,57.63,60.04,2496100,59.66
2013-06-17,58.4,61.61,58.38,59.44,2080400,59.06
2013-06-10,58.65,58.7,56.92,57.91,1416700,57.54
2013-06-03,57.79,58.83,56.26,58.61,1710800,58.24
2013-05-28,118.5,120.28,57.64,57.65,1989100,57.28
2013-05-20,121.37,123.21,115.62,117.38,2552100,58.32
2013-05-13,114.38,121.36,114.14,121.3,2631600,60.26
2013-05-06,113.22,117.8,112.59,114.78,2748400,57.03
2013-04-29,112.55,113.8,110.12,113.07,2440500,56.18
2013-04-22,107.58,116.38,106.33,111.69,2514600,55.35
2013-04-15,112.6,112.66,105.24,107.21,2568800,53.13
2013-04-08,112.21,118.48,112.02,113.54,2281400,56.27
2013-04-01,116.35,117.58,110.39,111.57,2322200,55.29
2013-03-25,114.7,116.45,112.76,115.66,1151600,57.32
2013-03-18,115.02,116.1,112.39,114.16,1729200,56.57
2013-03-11,112.28,116.64,111.7,116.45,2078500,57.71
2013-03-04,110.,112.81,108.03,112.49,2555300,55.75
2013-02-25,112.,112.39,107.26,110.04,2093300,54.53
2013-02-19,112.51,114.18,109.86,111.59,2484000,55.3
